"id","name","category","instructions","ingredients","thumbnail","estimated_price","currency","price_source","price_last_updated"
"53380","apple cake","Dessert","Preheat the oven to 180°C. (350˚F) Grease a cake pan and line it with baking paper. In a large bowl, break the four eggs with the sugar and beat until they have tripled in volume and become fluffy. Sift the self-rising baking flour and add it to your egg mixture. Fold this over, preserving as much air as possible. Add the melted (and slightly cooled) butter and mix until combined. Add cinnamon, pinch of salt and vanilla extract. Add the diced apple to the batter and gently fold them into the batter so that the apple pieces are evenly distributed. You can roll the apple pieces through some more cinnamon. Pour the batter into the prepared cake pan and smooth the top with a spatula. Place the apple slices on top of the batter and press lightly. Sprinkle optionally with some almond shavings. Bake the apple cake in the preheated oven for about 45-50 minutes, or until a wooden skewer comes out clean when inserted into the center of the cake. Remove the cake from the oven and let it cool in the mold for a few minutes. Then carefully remove the cake from the mold and let cool completely on a wire rack. Sprinkle the cooled apple cake with powdered sugar","4 Eggs, 200g Sugar, 200g Self-raising Flour, 200g Melted Butter, 1 tsp Vanilla Extract, 1 tsp Ground Cinnamon, 3 Apples, Pinch Salt, Sprinkling Ground Sugar","https://www.themealdb.com/images/media/meals/c0gmo31766594751.jpg","8.35","USD","estimated","2026-04-05T01:06:18+00:00"
"52977","arrabiata","Pasta","1. Cook pasta in salted boiling water until al dente. 2. While pasta cooks, finely chop garlic and red chili peppers. 3. Heat olive oil in a large skillet over medium heat. 4. Add garlic and chili peppers to the oil and fry for a few minutes until fragrant. 5. Add tomatoes and simmer for about 10 minutes. 6. Drain pasta and add to the tomato sauce. 7. Toss well to combine. 8. Serve immediately with grated Pecorino Romano cheese.","400g spaghetti, 400g canned tomatoes, 3 cloves garlic, 2 red chili peppers, 100ml olive oil, Salt and pepper to taste, Pecorino Romano cheese for serving","https://www.themealdb.com/images/media/meals/b6rrjq1508773722.jpg","6.8","USD","estimated","2026-04-05T01:06:18+00:00"
"53279","baklava with spiced nuts, ricotta & chocolate","Dessert","First, make the syrup. Tip the sugar into a large saucepan with 650ml water. Stir over a low heat until the sugar has dissolved, then turn up the heat and bring to the boil. Reduce the heat to a simmer and cook for 15 mins, then squeeze in a few drops of lemon juice and simmer for a further 5 mins. Remove from the heat and leave to cool. Meanwhile, for assembling the baklava later, melt the butter in a small pan over a low heat for 5 mins, skimming and discarding any froth that rises to the surface. For the filling, crush all of the nuts in a pestle and mortar, or blitz in a food processor. Tip into a bowl, stir through the spices and set aside. In a separate bowl, mix the ricotta with the lemon and orange zests and vanilla. Heat the oven to 180C/160C fan/gas 4. Brush the bottom of a large baking tray with some of the melted butter. Working with one sheet of filo at a time, lay the sheet out on a board, sprinkle nut mixture, spoon ricotta mixture, fold and roll around a skewer to create a long roll. Scrunch the filo roll like an accordion and push onto the tray. Repeat. Cut each roll into four to make 48 large baklava, or eight to make 96 mini. Brush with remaining melted butter. Bake for 20-25 mins until evenly golden. While still hot, immediately pour over 5-6 ladlefuls of syrup. Set aside to cool and absorb. Melt the dark chocolate and drizzle over the cooled baklava and sprinkle with the ground pistachios.","500g Sugar, To taste Lemon Juice, 300g Walnuts, 200g Pecan Nuts, 100g Almonds, 2 tablespoons Ground Cinnamon, 1 tablespoon Ground Cardomom, 500g Ricotta, Zest of 1 Lemon, Zest of 1 Orange, 1 tablespoon Vanilla Bean Paste, 250g Unsalted Butter, 500g Filo Pastry, 100g Ground Pistachios","https://www.themealdb.com/images/media/meals/ytme8t1764111401.jpg","13.65","USD","estimated","2026-04-05T01:06:18+00:00"
"53013","big mac","Beef","For the Big Mac sauce, combine all the ingredients in a bowl, season with salt and chill until ready to use. To make the patties, season the mince with salt and pepper and form into 4 balls using about 1/3 cup mince each. Place each onto a square of baking paper and flatten to form into four x 15cm circles. Heat oil in a large frypan over high heat. In 2 batches, cook beef patties for 1-2 minutes each side until lightly charred and cooked through. Remove from heat and keep warm. Repeat with remaining two patties. Carefully slice each burger bun into three acrossways, then lightly toast. To assemble the burgers, spread a little Big Mac sauce over the bottom base. Top with some chopped onion, shredded lettuce, slice of cheese, beef patty and some pickle slices. Top with the middle bun layer, and spread with more Big Mac sauce, onion, lettuce, pickles, beef patty and then finish with more sauce. Top with burger lid to serve.","400g Minced Beef, 2 tbs Olive Oil, 2 Sesame Seed Burger Buns, Chopped Onion, 1/4 Iceberg Lettuce, 2 sliced Cheese, 2 large Dill Pickles, 1 cup Mayonnaise, 2 tsp White Wine Vinegar, Pinch Pepper, 2 tsp Mustard, 1 1/2 tsp Onion Salt, 1 1/2 tsp Garlic Powder, 1/2 tsp Paprika","https://www.themealdb.com/images/media/meals/urzj1d1587670726.jpg","16.4","USD","estimated","2026-04-05T01:06:18+00:00"
"52844","breakfast potatoes","Breakfast","1. Dice potatoes into small cubes. 2. Heat olive oil in a large skillet over medium-high heat. 3. Add diced onions and bell peppers, sauté for 3-4 minutes. 4. Add potato cubes and cook for 10-12 minutes, stirring occasionally, until potatoes are golden and crispy. 5. Season with salt, pepper, and paprika. 6. Add garlic and cook for 1 minute more. 7. Serve hot, optionally topped with fried eggs and fresh herbs.","4 medium potatoes, 1 red bell pepper, 1 onion, 3 cloves garlic, 2 tbsp olive oil, Salt and pepper to taste, 1 tsp paprika, Fresh herbs","https://www.themealdb.com/images/media/meals/1550441882.jpg","6.05","USD","estimated","2026-04-05T01:06:18+00:00"
"52819","cajun spiced fish tacos","Seafood","On a large plate, mix the cajun spice and cayenne pepper with a little seasoning and use to coat the fish all over. Heat a little oil in a frying pan, add in the fish and cook over a medium heat until golden. Reduce the heat and continue frying until the fish is cooked through, about 10 minutes. Cook in batches if needed. Meanwhile, prepare the dressing by combining all the ingredients with a little seasoning. Soften the tortillas by heating in the microwave for 5-10 seconds. Pile high with the avocado, lettuce and spring onion, add a spoonful of salsa, top with large flakes of fish and drizzle over the dressing.","2 tbsp cajun, 1 tsp cayenne pepper, 4 fillets white fish, 1 tsp vegetable oil, 8 flour tortilla, 1 sliced avocado, 2 shredded little gem lettuce, 4 shredded Spring Onions, 1 x 300ml salsa, 1 pot sour cream, 1 lemon, 1 clove finely chopped garlic","https://www.themealdb.com/images/media/meals/uvuyxu1503067369.jpg","13.55","USD","estimated","2026-04-05T01:06:18+00:00"
"52897","carrot cake","Dessert","For the carrot cake, preheat the oven to 160C/325F/Gas 3. Grease and line a 26cm/10in springform cake tin. Mix all of the ingredients for the carrot cake, except the carrots and walnuts, together in a bowl until well combined. Stir in the carrots and walnuts. Spoon the mixture into the cake tin and bake for 1 hour 15 minutes, or until a skewer inserted into the middle comes out clean. Remove the cake from the oven and set aside to cool for 10 minutes, then carefully remove the cake from the tin and set aside to cool completely on a cooling rack. Meanwhile, for the icing, beat the cream cheese, caster sugar and butter together in a bowl until fluffy. Spread the icing over the top of the cake with a palette knife.","450ml Vegetable Oil, 400g Plain Flour, 2 tsp Bicarbonate Of Soda, 550ml Sugar, 5 Eggs, 1/2 tsp Salt, 2 tsp Cinnamon, 500g grated Carrots, 150g Walnuts, 200g Cream Cheese, 150g Caster Sugar, 100g Butter","https://www.themealdb.com/images/media/meals/vrspxv1511722107.jpg","12.4","USD","estimated","2026-04-05T01:06:18+00:00"
"53330","cassava pizza","Pork","Preheat the oven to 200ºC. Cut the bacon or chorizo into medium pieces and the paprika into strips. Spread a little tomato sauce and mozzarella cheese on each portion of cassava. Add the bacon or chorizo, corn, turkey ham, some olives and paprika. Bake for 7 to 10 minutes. Remove from the oven and enjoy.","6 cut thick slices Casabe, 450g Tomato Sauce, 225g Chorizo, 225g Turkey Ham, 75g Sweetcorn, 40g Green Olives, 55g Paprika, 50g Mozzarella","https://www.themealdb.com/images/media/meals/lrfdwz1764438393.jpg","7.9","USD","estimated","2026-04-05T01:06:18+00:00"
"53290","cheese borek","Side","In a medium bowl, whisk together egg, parsley, garlic and crushed red pepper. Mix in Gouda and Emmentaler. One sheet at a time, place phyllo dough on a flat surface and brush with about 1 tablespoon butter. Cut lengthwise into 4 strips. Place a rounded teaspoon of the egg mixture at one end of each strip. Fold corner of strip over the filling, forming a triangular fold. Continue folding the length of the strip in triangular folds to form a small stuffed triangle. Repeat with remaining phyllo dough. Preheat oven to 350 degrees F (175 degrees C). Lightly butter a large baking sheet. Arrange stuffed phyllo triangles in a single layer on the prepared baking sheet. Bake in the preheated oven 30 minutes, or until lightly browned. Serve warm.","1 beaten Egg, 1 bunch Parsley, 2 cloves minced Garlic, 3/4 teaspoon Red Pepper, 6 oz Gouda Cheese, 6 oz Emmentaler Cheese, 12 Phyllo Dough, 1 1/2 cups Unsalted Butter","https://www.themealdb.com/images/media/meals/oal8x31764119345.jpg","9.8","USD","estimated","2026-04-05T01:06:18+00:00"
"52795","chicken handi","Chicken","Take a large pot or wok, big enough to cook all the chicken, and heat the oil in it. Once the oil is hot, add sliced onion and fry them until deep golden brown. Then take them out on a plate and set aside. To the same pot, add the chopped garlic and sauté for a minute. Then add the chopped tomatoes and cook until tomatoes turn soft. Then return the fried onion to the pot and stir. Add ginger paste and sauté well. Now add the cumin seeds, half of the coriander seeds and chopped green chillies. Give them a quick stir. Next goes in the spices - turmeric powder and red chilli powder. Sauté the spices well for couple of minutes. Add the chicken pieces to the wok, season it with salt to taste and cook the chicken covered on medium-low heat until the chicken is almost cooked through, about 15 minutes. When the oil separates from the spices, add the beaten yogurt keeping the heat on lowest so that the yogurt does not split. Sprinkle the remaining coriander seeds and add half of the dried fenugreek leaves. Mix well. Finally add the cream and give a final mix to combine everything well. Sprinkle the remaining kasuri methi and garam masala and serve the chicken handi hot with naan or rotis.","1.2 kg Chicken, 5 thinly sliced Onion, 2 finely chopped Tomatoes, 8 cloves chopped Garlic, 1 tbsp Ginger paste, 1/4 cup Vegetable oil, 2 tsp Cumin seeds, 3 tsp Coriander seeds, 1 tsp Turmeric powder, 1 tsp Chilli powder, 2 Green chilli, 1 cup Yogurt, 3/4 cup Cream, 3 tsp Dried fenugreek, 1 tsp Garam masala, To taste Salt","https://www.themealdb.com/images/media/meals/wyxwsp1486979827.jpg","18.25","USD","estimated","2026-04-05T01:06:18+00:00"
"53319","chivito sandwich","Beef","For the brioche buns heat the milk with the butter and molasses until the butter has melted. Add the cold water and egg to this mix. In a large bowl place flour, salt and yeast and mix. Then add the milk and water mix and stir with a wooden spoon until combined. Cover with a damp towel and stick in the fridge overnight. The next morning knead dough on a generously floured surface and cut into eight equal pieces. Shape these into balls and place on a baking sheet. Cover again with damp towel and let rise for about an hour or until double in size. Heat oven to 220 degrees Celsius. Brush the buns with egg wash and sprinkle with sesame seeds. Bake for about 15-20min or until golden. Let cool. For the toppings chop the onions and sauté in a bit of butter, let caramelize. Rub the steaks with a bit of garlic and then grill or fry the steaks, the bacon, and eggs with salt and pepper, toast the buns after having cut in half. Spread mustard on one bun half, layer each chivito with steak, a slice of ham, a slice of cheese, one bacon stripe, a tomato slice, and some lettuce. Place fried egg on top and sprinkle generously with chimichurri and some onions right before serving.","80g Milk, 60g Butter, 1 tablespoon Molasses, 220g Water, 9 Egg, 500g Bread Flour, 10g Salt, 10g Yeast, Splash Egg Wash, Sprinkling Sesame Seed, 4 Onion, 8 Sirloin steak, To serve Garlic, 8 Bacon, 8 slices Ham, 8 slices Mozzarella, 4 Tomato, 1/4 Lettuce, To serve Mustard, To serve Chimichurri sauce","https://www.themealdb.com/images/media/meals/j80gmw1764372176.jpg","22.1","USD","estimated","2026-04-05T01:06:18+00:00"
"52855","chocolate chip cookies","Dessert","1. Preheat oven to 375°F (190°C). 2. In a large bowl, cream together butter and sugars until light and fluffy. 3. Beat in eggs one at a time, then add vanilla. 4. In another bowl, combine flour, baking soda, and salt. 5. Gradually blend the dry ingredients into the butter mixture. 6. Stir in chocolate chips. 7. Drop rounded tablespoons of dough onto cookie sheets. 8. Bake for 9-11 minutes or until golden brown. 9. Cool on baking sheet for 2 minutes before removing to a wire rack.","225g butter, 200g brown sugar, 100g white sugar, 2 eggs, 2 tsp vanilla extract, 280g flour, 1 tsp baking soda, 1 tsp salt, 340g chocolate chips","https://www.themealdb.com/images/media/meals/sxxpqt1511590270.jpg","8.35","USD","estimated","2026-04-05T01:06:18+00:00"
"52776","chocolate gateau","Dessert","Preheat the oven to 180°C/350°F/Gas Mark 4. Grease and line the base of an 8 in round spring form cake tin with baking parchment. Break the chocolate into a heatproof bowl and place over a saucepan of gently simmering water and stir until it melts. Place the butter and sugar in a mixing bowl and cream together with a wooden spoon until light and fluffy. Gradually beat in the eggs, adding a little flour if the mixture begins to curdle. Fold in the remaining flour with the cooled, melted chocolate and milk. Mix until smooth. Spread the mixture into the cake tin and bake for 50-55 mins or until firm in the centre and a skewer comes out cleanly. Cool for 10 minutes, then turn out and cool completely.","250g Plain chocolate, 175g Butter, 2 tablespoons Milk, 5 Eggs, 175g Granulated Sugar, 125g Flour","https://www.themealdb.com/images/media/meals/tqtywx1468317395.jpg","5.95","USD","estimated","2026-04-05T01:06:18+00:00"
"53073","eggplant adobo","Vegetarian","Slice eggplant into quarters lengthwise, then cut crosswise into 2-inch-wide pieces. Place in a medium bowl. Add sugar, salt, and pepper. Toss to evenly coat eggplant and let sit at room temperature at least 20 minutes and up to 2 hours. Peel and thinly slice garlic. Add vegetable oil and half of garlic to a medium Dutch oven. Cook over medium-high heat, stirring constantly, until light golden and crisp, about 5 minutes. Transfer garlic chips to a plate. Place ground pork in same pot and break up into small pieces. Cook until deeply browned underneath, about 5 minutes. Transfer to another plate, leaving fat behind in the pot. Blot any moisture from eggplant, then cook in batches in the same pot until lightly browned, about 3 minutes per side. Transfer to plate with pork. Pour water into the pot and scrape up browned bits. Add remaining garlic, rice vinegar, soy sauce, bay leaves, pepper, and remaining sugar. Bring to a simmer, then return pork and eggplant to pot. Reduce heat, partially cover, and simmer until eggplant is tender and sauce is reduced by half, 20-25 minutes. Top with garlic chips and serve with cooked white rice.","1 lb Egg Plants, 2 tbs Sugar, 1 tsp Salt, 1 tsp Pepper, 1 whole Garlic, 3 tbs Olive Oil, 4 oz Ground Pork, 3 tbs Rice Vinegar, 2 tbs Soy Sauce, 2 Bay Leaf","https://www.themealdb.com/images/media/meals/y7h0lq1683208991.jpg","7.85","USD","estimated","2026-04-05T01:06:18+00:00"
"52802","fish pie","Seafood","Put the potatoes in a large pan of cold salted water and bring to the boil. Lower the heat, cover, then simmer gently for 15 minutes until tender. Drain, then return to the pan over a low heat for 30 seconds to drive off any excess water. Mash with 1 tbsp olive oil, then season. Meanwhile put the milk in a large sauté pan, add the fish and bring to the boil. Remove from the heat, cover and stand for 3 minutes. Remove the fish and pat dry, then gently flake into an ovenproof dish, discarding the skin and any bones. Heat the remaining oil in a pan, stir in the flour and cook for 30 seconds. Gradually stir in 200-250ml of the reserved milk. Grate in nutmeg, season, then bubble until thick. Stir in the cream. Preheat the oven to 190°C. Grate the artichokes and add to the dish with the leek, prawns and herbs. Stir the lemon zest and juice into the sauce, then pour over. Mix gently. Spoon the mash onto the fish mixture, then use a fork to make peaks. Sprinkle over the cheese, then bake for 35-40 minutes until golden and bubbling. Serve with wilted greens.","900g Floury Potatoes, 2 tbsp Olive Oil, 600ml Semi-skimmed Milk, 800g White Fish Fillets, 1 tbsp Plain flour, Grating Nutmeg, 3 tbsp Double Cream, 200g Jerusalem Artichokes, 1 finely sliced Leek, 200g peeled raw Prawns, Large handful Parsley, Handful Dill, Grated zest of 1 Lemon, 25g grated Gruyere, Juice of 1 Lemon","https://www.themealdb.com/images/media/meals/ysxwuq1487323065.jpg","20.55","USD","estimated","2026-04-05T01:06:18+00:00"
